Date,JSE,ABSA,CAPITEC,FNB,INVESTEC,NEDBANK,STANDARD,BTC,DOGE,ETH,XMR,XRP
2018-01-22,61060.28,18300,102100,6650,9270,26547,19991,10931.40039,0.006734,1003.26001,315.89801,1.35735
2018-01-23,61475.43,18919,102251,6913,9354,27050,20300,10868.40039,0.006673,986.229004,308.460999,1.33707
2018-01-24,61623.13,18549,103400,7047,9487,27349,20112,11359.40039,0.007083,1058.780029,317.399994,1.35715
2018-01-25,61684.77,18541,106930,7143,9457,28000,20790,11259.40039,0.007667,1056.030029,317.102997,1.31223
2018-01-26,61595.85,18347,102563,7025,9485,27968,20875,11171.40039,0.007237,1055.170044,323.684998,1.21727
2018-01-29,60806.89,17600,94390,6720,9484,26753,20001,11296.40039,0.006967,1182.359985,316.627991,1.32397
2018-01-30,59546.23,17295,91592,6545,9425,25915,19832,10106.29981,0.006024,1071.130005,274.015991,1.13856
2018-01-31,59506.12,18010,80060,6650,9291,26401,20066,10221.09961,0.00601,1118.310059,272.889008,1.16239
2018-02-01,59258.37,18350,84500,6700,9428,26503,20409,9170.540039,0.005029,1036.790039,240.964996,0.96253
2018-02-02,58656.82,18199,92427,6640,9338,26400,20313,8830.75,0.004475,915.784973,235.630005,0.884784
2018-02-05,57113.73,18007,86466,6457,9107,25579,19509,6955.27002,0.003533,697.950989,179.487,0.691799
2018-02-06,56377.2,17600,83286,6459,9360,25498,19375,7754,0.004361,793.122009,212.289001,0.776393
2018-02-07,56886.44,18370,83700,6694,10106,26996,19900,7621.299805,0.004297,757.067993,207.274994,0.723895
2018-02-08,56635.69,18350,81061,6666,10300,26968,19699,8265.589844,0.004566,817.807007,247.223999,0.805263
2018-02-09,55902.61,18300,83132,6662,9951,27500,19800,8736.980469,0.005,883.86499,260.433014,0.954428
2018-02-12,56206.76,18745,83500,6891,9952,27500,20280,8926.570313,0.005472,868.70697,247.567993,1.08101
2018-02-13,57208.96,18928,84485,7000,9999,27739,20504,8598.30957,0.005638,845.257996,234.688995,1.02741
2018-02-14,57399.54,19090,81326,7080,9844,27601,20793,9494.629883,0.00673,923.560974,276.661987,1.14162
2018-02-15,59533.09,20575,83000,7535,10173,29083,21860,10166.40039,0.007347,936.976013,303.251007,1.14686
2018-02-16,59122.33,20478,82094,7368,10150,29225,21695,10233.90039,0.007034,944.210022,296.47699,1.13803
2018-02-19,58701.37,20260,82390,7366,10160,29300,21600,11225.29981,0.006697,943.86499,316.493988,1.14442
2018-02-20,57928.77,19800,82110,7296,10243,28550,21400,11403.7002,0.007094,895.370972,304.395996,1.08946
2018-02-21,58605.96,19916,87600,7520,10172,29190,21800,10690.40039,0.006581,849.971008,322.606995,1.01539
2018-02-22,58155.08,19755,85768,7430,10163,29050,21700,10005,0.006259,812.844971,282.76001,0.941788
2018-02-23,58715.46,20388,86978,7607,10186,29300,21961,10301.09961,0.006648,864.189026,285.708008,0.998855
2018-02-26,58868.92,20456,86071,7544,10180,29400,21655,10366.7002,0.006339,869.315002,293.608002,0.956859
2018-02-27,59027.22,20200,84600,7565,10314,29835,22125,10725.59961,0.006291,878.265015,302.540985,0.947305
2018-02-28,58325.09,19850,83246,7390,10250,28756,21781,10397.90039,0.006018,855.198975,285.696991,0.904583
2018-03-01,57923.16,20017,85119,7403,10165,28925,21875,10951,0.006215,872.200012,314.035004,0.928347
2018-03-02,57744.69,20017,84024,7380,10105,29400,21700,11086.40039,0.005482,856.853027,344.729004,0.910144
2018-03-05,57912.4,20186,86546,7420,10206,29620,21915,11573.29981,0.005218,853.684021,373.247009,0.959368
2018-03-06,59242.85,20620,86690,7490,10406,30800,22493,10779.90039,0.00461,816.950989,346.39801,0.922887
2018-03-07,58962.64,20550,85165,7194,10450,30800,22384,9965.570313,0.004024,752.830994,339.14801,0.87121
2018-03-08,58926.01,20700,86420,6951,10500,30900,22097,9395.009766,0.004025,704.596008,278.636993,0.825857
2018-03-09,59169.22,20600,85219,6642,10457,30927,22507,9337.549805,0.004146,728.916016,288.089996,0.849761
2018-03-12,59194.45,20398,87635,6855,10500,31300,22741,9205.120117,0.004032,699.830994,259.421997,0.801048
2018-03-13,59084.5,20399,90100,7026,10380,30600,22731,9194.849609,0.00396,690.827026,248.067993,0.789711
2018-03-14,58423.17,19915,94215,6910,10169,29400,22214,8269.80957,0.003524,614.291016,215.559998,0.701902
2018-03-15,58203.76,19960,93680,6973,10100,29759,22500,8300.860352,0.003536,611.304016,213.311005,0.697269
2018-03-16,58101.02,19940,91846,6907,10002,29134,22358,8338.349609,0.00351,601.666016,215.703003,0.68926
2018-03-19,58088.41,19990,91775,6974,9619,29375,22250,8630.650391,0.00344,556.726013,216.772995,0.74908
2018-03-20,58288.87,19957,91434,7078,9545,29254,22380,8913.469727,0.003651,557.174988,223.737,0.709808
2018-03-22,57224.6,19436,89600,6897,9341,28576,21800,8728.469727,0.003528,539.702026,212.710007,0.662743
2018-03-23,56405.64,19567,89438,6875,9250,28442,21918,8879.620117,0.00356,539.619019,213.914993,0.643174
2018-03-26,56176.43,19616,89400,6930,9112,28775,22059,8209.400391,0.003289,489.950989,197.175003,0.599463
2018-03-27,56050.78,19336,90000,6669,9190,28515,22000,7833.040039,0.003145,450.115997,187.929993,0.577917
2018-03-28,54763.97,18670,86283,6462,9033,27800,21500,7954.47998,0.003141,446.278992,199.158997,0.578002
2018-03-29,55474.52,18970,87024,6690,9228,28554,21868,7165.700195,0.002827,385.967987,176.862,0.511511
2018-04-03,54864.79,18498,85013,6631,9021,28500,21479,7456.109863,0.00298,416.893005,189.535004,0.558044
2018-04-04,54602.68,18200,84400,6569,8963,27779,21186,6853.839844,0.00277,380.542999,170.100998,0.501631
2018-04-05,55761.15,18491,85347,6749,9139,28500,21600,6811.470215,0.002714,383.231995,173.309006,0.495801
2018-04-06,55878.8,18681,85500,6573,9291,28300,21280,6636.319824,0.00267,370.285004,162.003998,0.476431
2018-04-09,56091.56,18600,87000,6522,9220,28360,21430,6770.72998,0.002763,398.526001,167.065002,0.491855
2018-04-10,56747.24,18339,87146,6648,9440,28700,21634,6834.759766,0.003043,414.243011,165.570007,0.491931
2018-04-11,56170.06,17700,85365,6546,9400,28550,20893,6968.319824,0.003396,430.540009,169.160995,0.539506
2018-04-12,56480.98,17700,84425,6695,9531,29070,21518,7889.25,0.003798,492.94101,191.944,0.628737
